observation_date,INDPRO
1948-01-01,14.3524
1948-02-01,14.3793
1948-03-01,14.2177
1948-04-01,14.2447
1948-05-01,14.4870
1948-06-01,14.6755
1948-07-01,14.6755
1948-08-01,14.6216
1948-09-01,14.5139
1948-10-01,14.6217
1948-11-01,14.4332
1948-12-01,14.2985
1949-01-01,14.1639
1949-02-01,14.0292
1949-03-01,13.7600
1949-04-01,13.6792
1949-05-01,13.4907
1949-06-01,13.4638
1949-07-01,13.4368
1949-08-01,13.5715
1949-09-01,13.7061
1949-10-01,13.1945
1949-11-01,13.5446
1949-12-01,13.7869
1950-01-01,14.0292
1950-02-01,14.0831
1950-03-01,14.5409
1950-04-01,15.0255
1950-05-01,15.3756
1950-06-01,15.8334
1950-07-01,16.3450
1950-08-01,16.8566
1950-09-01,16.7489
1950-10-01,16.8566
1950-11-01,16.8297
1950-12-01,17.1259
1951-01-01,17.1797
1951-02-01,17.2875
1951-03-01,17.3682
1951-04-01,17.3952
1951-05-01,17.3413
1951-06-01,17.2605
1951-07-01,16.9913
1951-08-01,16.8297
1951-09-01,16.9374
1951-10-01,16.9105
1951-11-01,17.0451
1951-12-01,17.1528
1952-01-01,17.3413
1952-02-01,17.4490
1952-03-01,17.5029
1952-04-01,17.3413
1952-05-01,17.1798
1952-06-01,17.0182
1952-07-01,16.7489
1952-08-01,17.8260
1952-09-01,18.4723
1952-10-01,18.6608
1952-11-01,19.0378
1952-12-01,19.1455
1953-01-01,19.1993
1953-02-01,19.3070
1953-03-01,19.4686
1953-04-01,19.5494
1953-05-01,19.6571
1953-06-01,19.5763
1953-07-01,19.8187
1953-08-01,19.7109
1953-09-01,19.3070
1953-10-01,19.1455
1953-11-01,18.6877
1953-12-01,18.2299
1954-01-01,18.0953
1954-02-01,18.1492
1954-03-01,18.0414
1954-04-01,17.9337
1954-05-01,18.0414
1954-06-01,18.0953
1954-07-01,18.1222
1954-08-01,18.0953
1954-09-01,18.1222
1954-10-01,18.3377
1954-11-01,18.6338
1954-12-01,18.8762
1955-01-01,19.3070
1955-02-01,19.5494
1955-03-01,20.0071
1955-04-01,20.2495
1955-05-01,20.5726
1955-06-01,20.5996
1955-07-01,20.7611
1955-08-01,20.7342
1955-09-01,20.8688
1955-10-01,21.2189
1955-11-01,21.2727
1955-12-01,21.3535
1956-01-01,21.4882
1956-02-01,21.2997
1956-03-01,21.2997
1956-04-01,21.4612
1956-05-01,21.2728
1956-06-01,21.0843
1956-07-01,20.4380
1956-08-01,21.2727
1956-09-01,21.7574
1956-10-01,21.9459
1956-11-01,21.7574
1956-12-01,22.0806
1957-01-01,21.9998
1957-02-01,22.2152
1957-03-01,22.1883
1957-04-01,21.8921
1957-05-01,21.8113
1957-06-01,21.8652
1957-07-01,21.9998
1957-08-01,21.9998
1957-09-01,21.8113
1957-10-01,21.4882
1957-11-01,20.9765
1957-12-01,20.5726
1958-01-01,20.1956
1958-02-01,19.7648
1958-03-01,19.5225
1958-04-01,19.1993
1958-05-01,19.3878
1958-06-01,19.8994
1958-07-01,20.1956
1958-08-01,20.5995
1958-09-01,20.7881
1958-10-01,21.0304
1958-11-01,21.6497
1958-12-01,21.6767
1959-01-01,21.9998
1959-02-01,22.4306
1959-03-01,22.7538
1959-04-01,23.2384
1959-05-01,23.5885
1959-06-01,23.6155
1959-07-01,23.0500
1959-08-01,22.2691
1959-09-01,22.2421
1959-10-01,22.0806
1959-11-01,22.2152
1959-12-01,23.5885
1960-01-01,24.2078
1960-02-01,23.9924
1960-03-01,23.7770
1960-04-01,23.5885
1960-05-01,23.5616
1960-06-01,23.2654
1960-07-01,23.1846
1960-08-01,23.1577
1960-09-01,22.9153
1960-10-01,22.8884
1960-11-01,22.5653
1960-12-01,22.1344
1961-01-01,22.1613
1961-02-01,22.1344
1961-03-01,22.2691
1961-04-01,22.7268
1961-05-01,23.0769
1961-06-01,23.4000
1961-07-01,23.6693
1961-08-01,23.8847
1961-09-01,23.8578
1961-10-01,24.3156
1961-11-01,24.6926
1961-12-01,24.9080
1962-01-01,24.6925
1962-02-01,25.0964
1962-03-01,25.2311
1962-04-01,25.2850
1962-05-01,25.2580
1962-06-01,25.2042
1962-07-01,25.4465
1962-08-01,25.4734
1962-09-01,25.6350
1962-10-01,25.6619
1962-11-01,25.7696
1962-12-01,25.7696
1963-01-01,25.9581
1963-02-01,26.2544
1963-03-01,26.4159
1963-04-01,26.6582
1963-05-01,26.9814
1963-06-01,27.0622
1963-07-01,26.9545
1963-08-01,27.0083
1963-09-01,27.2776
1963-10-01,27.4661
1963-11-01,27.6007
1963-12-01,27.5469
1964-01-01,27.7892
1964-02-01,27.9777
1964-03-01,27.9777
1964-04-01,28.4355
1964-05-01,28.5970
1964-06-01,28.6778
1964-07-01,28.8663
1964-08-01,29.0548
1964-09-01,29.1625
1964-10-01,28.7586
1964-11-01,29.6472
1964-12-01,29.9973
1965-01-01,30.3204
1965-02-01,30.5089
1965-03-01,30.9128
1965-04-01,31.0474
1965-05-01,31.2898
1965-06-01,31.5321
1965-07-01,31.8283
1965-08-01,31.9630
1965-09-01,32.0438
1965-10-01,32.3669
1965-11-01,32.5015
1965-12-01,32.9054
1966-01-01,33.2286
1966-02-01,33.4440
1966-03-01,33.9018
1966-04-01,33.9556
1966-05-01,34.2787
1966-06-01,34.4403
1966-07-01,34.6288
1966-08-01,34.6557
1966-09-01,34.9789
1966-10-01,35.2212
1966-11-01,34.9788
1966-12-01,35.0596
1967-01-01,35.2250
1967-02-01,34.8255
1967-03-01,34.6292
1967-04-01,34.9558
1967-05-01,34.6508
1967-06-01,34.6465
1967-07-01,34.5676
1967-08-01,35.2299
1967-09-01,35.1727
1967-10-01,35.4591
1967-11-01,35.9663
1967-12-01,36.3536
1968-01-01,36.3145
1968-02-01,36.4446
1968-03-01,36.5584
1968-04-01,36.6113
1968-05-01,37.0220
1968-06-01,37.1580
1968-07-01,37.1010
1968-08-01,37.2045
1968-09-01,37.3454
1968-10-01,37.4196
1968-11-01,37.9036
1968-12-01,38.0233
1969-01-01,38.2533
1969-02-01,38.4981
1969-03-01,38.8000
1969-04-01,38.6573
1969-05-01,38.5111
1969-06-01,38.8874
1969-07-01,39.0927
1969-08-01,39.1825
1969-09-01,39.1737
1969-10-01,39.1852
1969-11-01,38.8158
1969-12-01,38.7116
1970-01-01,37.9948
1970-02-01,37.9698
1970-03-01,37.9205
1970-04-01,37.8230
1970-05-01,37.7789
1970-06-01,37.6567
1970-07-01,37.7491
1970-08-01,37.6818
1970-09-01,37.4221
1970-10-01,36.6735
1970-11-01,36.4514
1970-12-01,37.2885
1971-01-01,37.5753
1971-02-01,37.5037
1971-03-01,37.4631
1971-04-01,37.6735
1971-05-01,37.8646
1971-06-01,38.0234
1971-07-01,37.9131
1971-08-01,37.6930
1971-09-01,38.3056
1971-10-01,38.5924
1971-11-01,38.7561
1971-12-01,39.2035
1972-01-01,40.1408
1972-02-01,40.5459
1972-03-01,40.8263
1972-04-01,41.2348
1972-05-01,41.2405
1972-06-01,41.3497
1972-07-01,41.3035
1972-08-01,41.8790
1972-09-01,42.2132
1972-10-01,42.7494
1972-11-01,43.2548
1972-12-01,43.7367
1973-01-01,44.0529
1973-02-01,44.6827
1973-03-01,44.7045
1973-04-01,44.6387
1973-05-01,44.9429
1973-06-01,45.0035
1973-07-01,45.1636
1973-08-01,45.1019
1973-09-01,45.4624
1973-10-01,45.8470
1973-11-01,46.0553
1973-12-01,45.9230
1974-01-01,45.6204
1974-02-01,45.4759
1974-03-01,45.4777
1974-04-01,45.3451
1974-05-01,45.7044
1974-06-01,45.6238
1974-07-01,45.7221
1974-08-01,45.2366
1974-09-01,45.2365
1974-10-01,45.1133
1974-11-01,43.6278
1974-12-01,42.0533
1975-01-01,41.4676
1975-02-01,40.5165
1975-03-01,40.0638
1975-04-01,40.1573
1975-05-01,40.0253
1975-06-01,40.2772
1975-07-01,40.6994
1975-08-01,41.0998
1975-09-01,41.6304
1975-10-01,41.8135
1975-11-01,41.8697
1975-12-01,42.4414
1976-01-01,43.0012
1976-02-01,43.4229
1976-03-01,43.5168
1976-04-01,43.7327
1976-05-01,43.9186
1976-06-01,43.9637
1976-07-01,44.2141
1976-08-01,44.5182
1976-09-01,44.6721
1976-10-01,44.6585
1976-11-01,45.3392
1976-12-01,45.8294
1977-01-01,45.5087
1977-02-01,46.2277
1977-03-01,46.8185
1977-04-01,47.2684
1977-05-01,47.6411
1977-06-01,48.0116
1977-07-01,48.0730
1977-08-01,48.1205
1977-09-01,48.3189
1977-10-01,48.3871
1977-11-01,48.4761
1977-12-01,48.5629
1978-01-01,47.8481
1978-02-01,48.1044
1978-03-01,49.0265
1978-04-01,50.0206
1978-05-01,50.2540
1978-06-01,50.5801
1978-07-01,50.5384
1978-08-01,50.7458
1978-09-01,50.8744
1978-10-01,51.2559
1978-11-01,51.6514
1978-12-01,51.9090
