feature,importance
value__ar_coefficient__coeff_1__k_10,0.019809486286465557
"value__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",0.013349219325918572
value__quantile__q_0.1,0.01152174137089095
"value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",0.010757100647745512
"value__linear_trend__attr_""pvalue""",0.010323320554293676
"value__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.00980752646635868
"value__agg_autocorrelation__f_agg_""median""__maxlag_40",0.009608417857017423
value__quantile__q_0.2,0.009509192129274759
value__quantile__q_0.9,0.008648530594191638
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.008603185274727167
value__standard_deviation,0.008314622476891452
value__kurtosis,0.008283590071415202
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.00815399205013277
value__quantile__q_0.8,0.00808162371522987
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.007961638538888644
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.007862068641519697
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.007595652346293813
value__mean_abs_change,0.007123182961730117
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.007077437741085394
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.007016086729144564
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.006986432665496304
value__autocorrelation__lag_3,0.006872242136960689
value__quantile__q_0.7,0.006759102500506199
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.006583367541345119
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.006528823071913409
value__partial_autocorrelation__lag_2,0.006511764029784668
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.006454775837259825
value__autocorrelation__lag_1,0.006406644252902449
"value__fft_coefficient__attr_""abs""__coeff_1",0.006400400948836925
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",0.006376428459701287
value__autocorrelation__lag_7,0.006312882182712924
value__partial_autocorrelation__lag_1,0.006104184913418412
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.00588516548491173
value__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.0058380518713419365
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.00578752646055474
"value__linear_trend__attr_""intercept""",0.005669077520173788
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.0056429148919922775
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.00563716184097562
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.005603030016806088
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.005575605813189141
value__cid_ce__normalize_False,0.005528255427219453
