feature,importance
"value__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",55
"value__fft_coefficient__attr_""angle""__coeff_48",55
"value__fft_coefficient__attr_""imag""__coeff_43",54
value__number_peaks__n_5,52
"value__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",52
"value__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",52
"value__fft_coefficient__attr_""abs""__coeff_48",52
"value__fft_coefficient__attr_""abs""__coeff_46",51
"value__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",51
value__range_count__max_1000000000000.0__min_0,50
"value__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",50
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""",50
value__number_peaks__n_3,49
"value__fft_coefficient__attr_""angle""__coeff_81",48
"value__fft_coefficient__attr_""abs""__coeff_45",48
"value__fft_coefficient__attr_""angle""__coeff_68",47
"value__fft_coefficient__attr_""angle""__coeff_46",47
"value__fft_coefficient__attr_""angle""__coeff_50",47
"value__fft_coefficient__attr_""angle""__coeff_47",47
"value__fft_coefficient__attr_""abs""__coeff_64",47
value__count_below_mean,47
value__number_peaks__n_10,46
"value__fft_coefficient__attr_""angle""__coeff_95",45
"value__fft_coefficient__attr_""angle""__coeff_77",44
"value__fft_coefficient__attr_""abs""__coeff_82",44
"value__fft_coefficient__attr_""abs""__coeff_47",43
"value__fft_coefficient__attr_""imag""__coeff_44",43
"value__fft_coefficient__attr_""imag""__coeff_46",42
"value__fft_coefficient__attr_""real""__coeff_95",42
"value__fft_coefficient__attr_""real""__coeff_45",42
"value__fft_coefficient__attr_""imag""__coeff_42",41
"value__fft_coefficient__attr_""imag""__coeff_45",40
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""",40
"value__fft_coefficient__attr_""abs""__coeff_69",40
"value__fft_coefficient__attr_""real""__coeff_60",40
"value__fft_coefficient__attr_""angle""__coeff_80",39
"value__fft_coefficient__attr_""abs""__coeff_59",39
"value__fft_coefficient__attr_""abs""__coeff_50",38
"value__fft_coefficient__attr_""angle""__coeff_79",37
"value__fft_coefficient__attr_""abs""__coeff_49",37
"value__fft_coefficient__attr_""abs""__coeff_85",36
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",36
"value__fft_coefficient__attr_""abs""__coeff_97",36
"value__fft_coefficient__attr_""angle""__coeff_91",35
"value__fft_coefficient__attr_""angle""__coeff_52",35
"value__fft_coefficient__attr_""angle""__coeff_51",35
value__number_peaks__n_50,35
"value__fft_coefficient__attr_""abs""__coeff_84",34
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",34
"value__fft_coefficient__attr_""real""__coeff_89",34
"value__fft_coefficient__attr_""abs""__coeff_51",33
"value__fft_coefficient__attr_""angle""__coeff_57",33
"value__fft_coefficient__attr_""angle""__coeff_94",32
"value__fft_coefficient__attr_""abs""__coeff_76",32
"value__fft_coefficient__attr_""real""__coeff_47",32
"value__fft_coefficient__attr_""angle""__coeff_49",31
"value__fft_coefficient__attr_""angle""__coeff_98",31
"value__fft_coefficient__attr_""imag""__coeff_89",31
"value__fft_coefficient__attr_""angle""__coeff_71",31
"value__fft_coefficient__attr_""real""__coeff_50",30
"value__fft_coefficient__attr_""angle""__coeff_60",30
"value__fft_coefficient__attr_""angle""__coeff_65",30
"value__fft_coefficient__attr_""abs""__coeff_58",30
value__large_standard_deviation__r_0.2,30
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",30
"value__fft_coefficient__attr_""abs""__coeff_79",30
"value__fft_coefficient__attr_""angle""__coeff_87",30
"value__fft_coefficient__attr_""angle""__coeff_56",30
"value__fft_coefficient__attr_""real""__coeff_77",29
"value__fft_coefficient__attr_""imag""__coeff_68",29
"value__fft_coefficient__attr_""angle""__coeff_59",29
"value__fft_coefficient__attr_""angle""__coeff_85",29
"value__fft_coefficient__attr_""angle""__coeff_58",29
"value__fft_coefficient__attr_""imag""__coeff_92",29
"value__fft_coefficient__attr_""real""__coeff_52",29
"value__fft_coefficient__attr_""abs""__coeff_67",29
"value__fft_coefficient__attr_""abs""__coeff_61",29
"value__fft_coefficient__attr_""angle""__coeff_61",28
"value__fft_coefficient__attr_""abs""__coeff_68",28
"value__fft_coefficient__attr_""abs""__coeff_57",28
"value__fft_coefficient__attr_""imag""__coeff_61",28
"value__fft_coefficient__attr_""imag""__coeff_71",28
"value__fft_coefficient__attr_""real""__coeff_90",28
"value__fft_coefficient__attr_""real""__coeff_83",28
"value__fft_coefficient__attr_""imag""__coeff_84",28
"value__fft_coefficient__attr_""abs""__coeff_94",28
"value__fft_coefficient__attr_""real""__coeff_46",27
"value__fft_coefficient__attr_""real""__coeff_76",27
"value__fft_coefficient__attr_""abs""__coeff_89",27
"value__fft_coefficient__attr_""abs""__coeff_87",27
"value__fft_coefficient__attr_""angle""__coeff_90",27
"value__fft_coefficient__attr_""angle""__coeff_88",27
"value__fft_coefficient__attr_""angle""__coeff_84",27
"value__fft_coefficient__attr_""imag""__coeff_49",27
"value__fft_coefficient__attr_""abs""__coeff_52",27
"value__fft_coefficient__attr_""imag""__coeff_62",26
"value__fft_coefficient__attr_""imag""__coeff_99",26
"value__fft_coefficient__attr_""abs""__coeff_96",26
"value__fft_coefficient__attr_""imag""__coeff_56",26
"value__fft_coefficient__attr_""abs""__coeff_63",26
"value__fft_coefficient__attr_""abs""__coeff_88",26
"value__fft_coefficient__attr_""abs""__coeff_86",25
"value__fft_coefficient__attr_""angle""__coeff_99",25
"value__fft_coefficient__attr_""abs""__coeff_95",25
"value__fft_coefficient__attr_""abs""__coeff_54",25
"value__fft_coefficient__attr_""real""__coeff_85",25
"value__fft_coefficient__attr_""abs""__coeff_81",24
"value__fft_coefficient__attr_""angle""__coeff_66",24
"value__fft_coefficient__attr_""angle""__coeff_64",24
"value__fft_coefficient__attr_""real""__coeff_96",24
"value__fft_coefficient__attr_""abs""__coeff_90",24
"value__fft_coefficient__attr_""angle""__coeff_67",24
"value__fft_coefficient__attr_""angle""__coeff_62",24
"value__fft_coefficient__attr_""abs""__coeff_91",24
"value__fft_coefficient__attr_""imag""__coeff_57",24
"value__fft_coefficient__attr_""real""__coeff_49",23
"value__fft_coefficient__attr_""angle""__coeff_69",23
"value__fft_coefficient__attr_""real""__coeff_98",23
"value__fft_coefficient__attr_""abs""__coeff_99",23
"value__fft_coefficient__attr_""imag""__coeff_70",23
"value__fft_coefficient__attr_""real""__coeff_66",23
"value__fft_coefficient__attr_""abs""__coeff_70",23
"value__fft_coefficient__attr_""imag""__coeff_72",23
"value__fft_coefficient__attr_""abs""__coeff_92",22
"value__fft_coefficient__attr_""imag""__coeff_58",22
"value__fft_coefficient__attr_""imag""__coeff_85",22
"value__fft_coefficient__attr_""imag""__coeff_60",22
"value__fft_coefficient__attr_""imag""__coeff_76",22
"value__fft_coefficient__attr_""real""__coeff_73",22
"value__fft_coefficient__attr_""abs""__coeff_74",22
"value__fft_coefficient__attr_""abs""__coeff_77",22
"value__fft_coefficient__attr_""angle""__coeff_78",22
"value__fft_coefficient__attr_""imag""__coeff_79",22
"value__fft_coefficient__attr_""real""__coeff_67",22
"value__fft_coefficient__attr_""imag""__coeff_93",21
"value__fft_coefficient__attr_""real""__coeff_59",21
"value__fft_coefficient__attr_""imag""__coeff_94",21
"value__fft_coefficient__attr_""angle""__coeff_92",21
"value__fft_coefficient__attr_""angle""__coeff_75",21
"value__fft_coefficient__attr_""angle""__coeff_89",21
"value__fft_coefficient__attr_""angle""__coeff_83",21
"value__fft_coefficient__attr_""angle""__coeff_70",21
"value__fft_coefficient__attr_""angle""__coeff_55",21
"value__fft_coefficient__attr_""imag""__coeff_47",21
"value__fft_coefficient__attr_""angle""__coeff_72",21
"value__fft_coefficient__attr_""angle""__coeff_63",21
"value__fft_coefficient__attr_""imag""__coeff_48",20
"value__fft_coefficient__attr_""imag""__coeff_54",20
"value__fft_coefficient__attr_""abs""__coeff_73",20
"value__fft_coefficient__attr_""real""__coeff_65",20
"value__fft_coefficient__attr_""imag""__coeff_82",20
"value__fft_coefficient__attr_""imag""__coeff_66",20
"value__fft_coefficient__attr_""abs""__coeff_93",20
"value__fft_coefficient__attr_""real""__coeff_94",20
"value__fft_coefficient__attr_""abs""__coeff_55",20
"value__fft_coefficient__attr_""abs""__coeff_72",20
"value__fft_coefficient__attr_""real""__coeff_79",19
"value__fft_coefficient__attr_""real""__coeff_71",19
"value__fft_coefficient__attr_""abs""__coeff_80",19
"value__fft_coefficient__attr_""real""__coeff_64",19
"value__fft_coefficient__attr_""angle""__coeff_97",19
"value__fft_coefficient__attr_""real""__coeff_48",19
"value__fft_coefficient__attr_""angle""__coeff_86",19
"value__fft_coefficient__attr_""abs""__coeff_62",18
"value__fft_coefficient__attr_""imag""__coeff_59",18
"value__fft_coefficient__attr_""real""__coeff_53",18
"value__fft_coefficient__attr_""real""__coeff_58",18
"value__fft_coefficient__attr_""imag""__coeff_51",18
"value__fft_coefficient__attr_""imag""__coeff_50",18
"value__fft_coefficient__attr_""abs""__coeff_71",18
"value__fft_coefficient__attr_""angle""__coeff_54",18
"value__fft_coefficient__attr_""real""__coeff_74",18
"value__fft_coefficient__attr_""imag""__coeff_65",18
"value__fft_coefficient__attr_""imag""__coeff_69",18
"value__fft_coefficient__attr_""imag""__coeff_73",17
"value__fft_coefficient__attr_""real""__coeff_88",17
"value__fft_coefficient__attr_""imag""__coeff_86",17
"value__fft_coefficient__attr_""imag""__coeff_63",17
"value__fft_coefficient__attr_""abs""__coeff_78",17
"value__fft_coefficient__attr_""abs""__coeff_65",17
"value__fft_coefficient__attr_""angle""__coeff_53",17
"value__fft_coefficient__attr_""real""__coeff_63",17
"value__fft_coefficient__attr_""imag""__coeff_98",17
"value__fft_coefficient__attr_""imag""__coeff_52",17
"value__fft_coefficient__attr_""imag""__coeff_90",17
value__range_count__max_0__min_-1000000000000.0,16
"value__fft_coefficient__attr_""real""__coeff_75",16
"value__fft_coefficient__attr_""real""__coeff_69",16
"value__fft_coefficient__attr_""imag""__coeff_83",16
"value__fft_coefficient__attr_""imag""__coeff_97",16
"value__fft_coefficient__attr_""real""__coeff_56",16
"value__fft_coefficient__attr_""imag""__coeff_64",16
"value__fft_coefficient__attr_""abs""__coeff_66",16
"value__fft_coefficient__attr_""angle""__coeff_82",15
"value__fft_coefficient__attr_""real""__coeff_97",15
"value__fft_coefficient__attr_""abs""__coeff_53",15
"value__fft_coefficient__attr_""real""__coeff_72",15
"value__fft_coefficient__attr_""real""__coeff_87",15
"value__fft_coefficient__attr_""real""__coeff_91",15
"value__fft_coefficient__attr_""real""__coeff_93",15
"value__fft_coefficient__attr_""angle""__coeff_96",15
"value__fft_coefficient__attr_""imag""__coeff_75",15
"value__fft_coefficient__attr_""imag""__coeff_78",15
"value__fft_coefficient__attr_""real""__coeff_61",15
"value__fft_coefficient__attr_""real""__coeff_55",15
"value__fft_coefficient__attr_""angle""__coeff_73",15
"value__fft_coefficient__attr_""real""__coeff_70",15
"value__fft_coefficient__attr_""imag""__coeff_74",15
"value__fft_coefficient__attr_""real""__coeff_86",14
"value__fft_coefficient__attr_""abs""__coeff_83",14
"value__fft_coefficient__attr_""real""__coeff_51",14
"value__fft_coefficient__attr_""real""__coeff_68",14
"value__fft_coefficient__attr_""imag""__coeff_80",14
"value__fft_coefficient__attr_""imag""__coeff_87",14
"value__fft_coefficient__attr_""imag""__coeff_96",14
value__autocorrelation__lag_0,13
"value__fft_coefficient__attr_""imag""__coeff_95",13
"value__fft_coefficient__attr_""real""__coeff_78",13
"value__fft_coefficient__attr_""abs""__coeff_60",13
"value__fft_coefficient__attr_""real""__coeff_62",13
"value__fft_coefficient__attr_""imag""__coeff_55",13
"value__fft_coefficient__attr_""real""__coeff_92",13
value__large_standard_deviation__r_0.15000000000000002,12
"value__fft_coefficient__attr_""imag""__coeff_53",12
"value__fft_coefficient__attr_""abs""__coeff_75",12
"value__fft_coefficient__attr_""real""__coeff_82",12
"value__fft_coefficient__attr_""imag""__coeff_81",12
"value__fft_coefficient__attr_""real""__coeff_99",12
"value__fft_coefficient__attr_""imag""__coeff_77",11
"value__fft_coefficient__attr_""real""__coeff_81",11
"value__fft_coefficient__attr_""imag""__coeff_67",11
"value__fft_coefficient__attr_""angle""__coeff_93",10
"value__fft_coefficient__attr_""real""__coeff_84",10
"value__fft_coefficient__attr_""imag""__coeff_88",9
"value__fft_coefficient__attr_""real""__coeff_54",8
"value__fft_coefficient__attr_""real""__coeff_80",7
value__variance_larger_than_standard_deviation,7
"value__fft_coefficient__attr_""imag""__coeff_91",7
value__ratio_beyond_r_sigma__r_5,5
value__ratio_beyond_r_sigma__r_6,5
value__large_standard_deviation__r_0.30000000000000004,4
"value__fft_coefficient__attr_""angle""__coeff_0",4
value__large_standard_deviation__r_0.25,3
value__symmetry_looking__r_0.05,1
value__large_standard_deviation__r_0.7000000000000001,0
value__large_standard_deviation__r_0.6000000000000001,0
value__large_standard_deviation__r_0.65,0
value__large_standard_deviation__r_0.5,0
value__large_standard_deviation__r_0.55,0
value__has_duplicate_max,0
value__large_standard_deviation__r_0.05,0
value__large_standard_deviation__r_0.1,0
value__large_standard_deviation__r_0.9500000000000001,0
value__large_standard_deviation__r_0.8,0
value__large_standard_deviation__r_0.8500000000000001,0
value__large_standard_deviation__r_0.9,0
value__ratio_value_number_to_time_series_length,0
value__percentage_of_reoccurring_datapoints_to_all_datapoints,0
value__sum_of_reoccurring_values,0
value__sum_of_reoccurring_data_points,0
value__large_standard_deviation__r_0.75,0
value__symmetry_looking__r_0.9500000000000001,0
value__symmetry_looking__r_0.9,0
value__ratio_beyond_r_sigma__r_7,0
value__ratio_beyond_r_sigma__r_10,0
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",0
value__percentage_of_reoccurring_values_to_all_values,0
value__has_duplicate_min,0
value__symmetry_looking__r_0.8,0
value__symmetry_looking__r_0.8500000000000001,0
"value__fft_coefficient__attr_""imag""__coeff_0",0
value__partial_autocorrelation__lag_0,0
value__partial_autocorrelation__lag_1,0
value__value_count__value_-1,0
value__value_count__value_0,0
value__value_count__value_1,0
value__large_standard_deviation__r_0.4,0
value__large_standard_deviation__r_0.45,0
value__symmetry_looking__r_0.0,0
value__large_standard_deviation__r_0.35000000000000003,0
value__symmetry_looking__r_0.1,0
value__symmetry_looking__r_0.15000000000000002,0
value__symmetry_looking__r_0.25,0
value__symmetry_looking__r_0.2,0
value__symmetry_looking__r_0.35000000000000003,0
value__symmetry_looking__r_0.4,0
value__symmetry_looking__r_0.45,0
value__symmetry_looking__r_0.30000000000000004,0
value__symmetry_looking__r_0.5,0
value__symmetry_looking__r_0.55,0
value__symmetry_looking__r_0.65,0
value__symmetry_looking__r_0.6000000000000001,0
value__symmetry_looking__r_0.7000000000000001,0
value__symmetry_looking__r_0.75,0
value__has_duplicate,0
value__query_similarity_count__query_None__threshold_0.0,0
