feature,importance
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",298
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",298
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",297
value__ar_coefficient__coeff_6__k_10,297
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",294
value__ar_coefficient__coeff_7__k_10,291
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",289
"value__fft_coefficient__attr_""abs""__coeff_16",287
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""",285
value__mean_change,285
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",284
value__longest_strike_below_mean,283
"value__fft_coefficient__attr_""abs""__coeff_14",282
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",279
value__autocorrelation__lag_4,278
value__lempel_ziv_complexity__bins_2,277
value__quantile__q_0.6,277
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",276
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",276
value__mean_second_derivative_central,275
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",274
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",269
value__cid_ce__normalize_True,268
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",268
"value__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",268
value__max_langevin_fixed_point__m_3__r_30,268
value__autocorrelation__lag_8,267
"value__fft_coefficient__attr_""angle""__coeff_21",267
value__autocorrelation__lag_2,266
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2",265
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",265
"value__fft_coefficient__attr_""abs""__coeff_9",265
"value__fft_coefficient__attr_""abs""__coeff_17",262
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",262
value__fourier_entropy__bins_3,260
"value__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",259
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",259
"value__fft_coefficient__attr_""abs""__coeff_18",258
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",258
value__fourier_entropy__bins_5,258
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",256
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",255
