feature,importance
value__ratio_beyond_r_sigma__r_5,0.1640016
value__standard_deviation,0.14684248
value__quantile__q_0.9,0.03645253
value__ar_coefficient__coeff_1__k_10,0.027205206
value__fourier_entropy__bins_10,0.01758132
value__ratio_beyond_r_sigma__r_0.5,0.017081272
value__cid_ce__normalize_False,0.016779484
value__friedrich_coefficients__coeff_2__m_3__r_30,0.014934543
value__large_standard_deviation__r_0.2,0.014762278
"value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",0.013704107
value__autocorrelation__lag_9,0.01354493
"value__linear_trend__attr_""pvalue""",0.011948568
value__energy_ratio_by_chunks__num_segments_10__segment_focus_0,0.0105900075
"value__agg_autocorrelation__f_agg_""median""__maxlag_40",0.008855494
"value__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",0.008754384
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",0.008282703
"value__linear_trend__attr_""stderr""",0.008050812
value__sum_values,0.0077852504
value__mean_n_absolute_max__number_of_maxima_7,0.0067792856
value__large_standard_deviation__r_0.15000000000000002,0.0066036987
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.0063580843
value__ratio_beyond_r_sigma__r_3,0.0063477065
value__length,0.0061484734
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",0.005953643
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",0.0057523246
value__absolute_maximum,0.0048845536
value__partial_autocorrelation__lag_2,0.0046994835
"value__linear_trend__attr_""intercept""",0.004150834
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.0040697274
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",0.003996027
value__number_crossing_m__m_0,0.0038506365
value__number_peaks__n_50,0.0035753637
value__mean,0.003466085
value__kurtosis,0.003020203
value__range_count__max_1__min_-1,0.002967893
"value__fft_coefficient__attr_""abs""__coeff_1",0.0028734254
value__energy_ratio_by_chunks__num_segments_10__segment_focus_7,0.0027975966
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",0.0027868624
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",0.0027379927
"value__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.0027285183
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",0.0026911374
value__spkt_welch_density__coeff_2,0.0026604594
value__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.0026313136
value__binned_entropy__max_bins_10,0.0025745495
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",0.0025627657
value__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.0025543694
value__mean_abs_change,0.0024811707
value__number_crossing_m__m_-1,0.0024074698
value__large_standard_deviation__r_0.30000000000000004,0.002394373
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",0.0022780125
value__absolute_sum_of_changes,0.0022662492
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",0.0021880614
"value__fft_coefficient__attr_""abs""__coeff_0",0.002140183
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",0.0021385641
value__quantile__q_0.2,0.0021023795
value__ratio_beyond_r_sigma__r_7,0.002090237
"value__fft_coefficient__attr_""abs""__coeff_5",0.0020858103
value__longest_strike_above_mean,0.0020260275
"value__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)",0.0020025396
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",0.001989139
value__autocorrelation__lag_1,0.0019865562
value__ratio_beyond_r_sigma__r_6,0.0019595774
value__index_mass_quantile__q_0.6,0.0019571297
value__quantile__q_0.3,0.001873249
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",0.0018485541
value__cid_ce__normalize_True,0.0018398627
"value__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",0.0018213922
value__autocorrelation__lag_2,0.0018178633
value__index_mass_quantile__q_0.8,0.0018060061
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",0.001803913
"value__fft_coefficient__attr_""abs""__coeff_6",0.0017497145
value__index_mass_quantile__q_0.9,0.0017330289
value__maximum,0.0017213712
value__permutation_entropy__dimension_6__tau_1,0.0017179818
value__fourier_entropy__bins_100,0.001711746
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.0016856402
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",0.00166705
"value__fft_coefficient__attr_""abs""__coeff_4",0.0016192432
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",0.0015802741
"value__agg_autocorrelation__f_agg_""var""__maxlag_40",0.001578369
value__quantile__q_0.4,0.0015481224
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",0.0015422608
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",0.0015184334
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""",0.0015177893
"value__linear_trend__attr_""rvalue""",0.0014898097
value__number_crossing_m__m_1,0.0014779032
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",0.0014262287
"value__fft_coefficient__attr_""abs""__coeff_7",0.00135416
value__energy_ratio_by_chunks__num_segments_10__segment_focus_9,0.0012778647
value__quantile__q_0.1,0.0012733692
value__index_mass_quantile__q_0.2,0.0012680467
value__index_mass_quantile__q_0.1,0.0012461523
value__fourier_entropy__bins_5,0.001243586
"value__fft_aggregated__aggtype_""kurtosis""",0.0012424988
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",0.0012361167
"value__fft_aggregated__aggtype_""skew""",0.0012218497
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",0.0012206914
value__abs_energy,0.0011861925
value__index_mass_quantile__q_0.7,0.0011676427
value__ratio_beyond_r_sigma__r_1,0.001155149
value__root_mean_square,0.0011387096
value__number_peaks__n_10,0.0011292344
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""",0.0011230743
value__permutation_entropy__dimension_7__tau_1,0.0011222681
value__autocorrelation__lag_7,0.0011173167
"value__fft_aggregated__aggtype_""variance""",0.0010921974
value__spkt_welch_density__coeff_5,0.0010595606
"value__fft_coefficient__attr_""abs""__coeff_2",0.0010546657
value__c3__lag_1,0.0010531843
value__index_mass_quantile__q_0.3,0.0010466959
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",0.001043461
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",0.0010405254
value__fourier_entropy__bins_3,0.0010136646
value__longest_strike_below_mean,0.0010085345
"value__fft_coefficient__attr_""angle""__coeff_1",0.0010007992
value__mean_change,0.0009915943
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",0.0009818589
"value__fft_coefficient__attr_""real""__coeff_1",0.0009749066
value__autocorrelation__lag_5,0.00096704805
value__lempel_ziv_complexity__bins_3,0.000940147
value__energy_ratio_by_chunks__num_segments_10__segment_focus_8,0.0009307448
value__ratio_beyond_r_sigma__r_2.5,0.0009157725
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""",0.0009064372
value__quantile__q_0.6,0.00090217864
value__index_mass_quantile__q_0.4,0.0009017909
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",0.00087882
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",0.00087626645
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",0.0008732894
value__autocorrelation__lag_8,0.0008589519
value__permutation_entropy__dimension_5__tau_1,0.00084941625
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",0.00084672926
value__count_above__t_0,0.00082985486
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",0.00082689285
"value__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",0.00082188984
value__ar_coefficient__coeff_2__k_10,0.000813613
value__partial_autocorrelation__lag_3,0.0008000814
value__autocorrelation__lag_3,0.00079962076
value__number_cwt_peaks__n_5,0.0007927323
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",0.000778686
value__number_peaks__n_5,0.0007673838
"value__fft_coefficient__attr_""abs""__coeff_8",0.0007649366
value__ar_coefficient__coeff_0__k_10,0.0007550248
"value__fft_coefficient__attr_""abs""__coeff_3",0.00074450293
value__quantile__q_0.8,0.0007432138
value__permutation_entropy__dimension_4__tau_1,0.0007354776
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",0.00073533965
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""",0.0007289077
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",0.00072173245
"value__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",0.00071650057
value__autocorrelation__lag_6,0.0007072781
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",0.00070621434
value__friedrich_coefficients__coeff_0__m_3__r_30,0.0007058709
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",0.0006874903
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",0.0006735147
value__lempel_ziv_complexity__bins_10,0.00067209976
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.00067175226
value__max_langevin_fixed_point__m_3__r_30,0.0006708625
value__partial_autocorrelation__lag_4,0.0006700538
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",0.00066438416
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",0.0006634342
value__ratio_beyond_r_sigma__r_2,0.00066191703
"value__fft_coefficient__attr_""angle""__coeff_2",0.0006587705
value__fourier_entropy__bins_2,0.0006397611
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",0.00063939136
value__count_above_mean,0.0006382249
"value__cwt_coefficients__coeff_5__w_5__widths_(2, 5, 10, 20)",0.0006363905
value__lempel_ziv_complexity__bins_100,0.00062859553
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",0.0006165467
value__quantile__q_0.7,0.00061561604
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",0.00061482954
value__lempel_ziv_complexity__bins_5,0.00061376084
value__count_below_mean,0.0006058084
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",0.00060300477
"value__fft_aggregated__aggtype_""centroid""",0.0005983117
"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",0.00059628877
value__autocorrelation__lag_4,0.00059319474
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",0.000592562
value__energy_ratio_by_chunks__num_segments_10__segment_focus_6,0.0005873746
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",0.00058585097
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",0.00058558385
value__skewness,0.0005815316
"value__fft_coefficient__attr_""imag""__coeff_1",0.00057204766
value__energy_ratio_by_chunks__num_segments_10__segment_focus_2,0.00056836917
value__variation_coefficient,0.0005636772
"value__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",0.00056357787
value__lempel_ziv_complexity__bins_2,0.00056269555
"value__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",0.0005560346
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",0.0005506701
"value__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",0.00054988865
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",0.00054772553
"value__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",0.00053472386
"value__linear_trend__attr_""slope""",0.00053357007
value__partial_autocorrelation__lag_5,0.00053235
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",0.00053145486
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",0.0005310891
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",0.00053098466
value__ar_coefficient__coeff_3__k_10,0.0005299561
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",0.0005224646
"value__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",0.0005194415
"value__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",0.0005167862
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",0.00051457615
value__minimum,0.00051253027
value__c3__lag_2,0.0005120512
"value__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",0.00050947495
"value__fft_coefficient__attr_""angle""__coeff_3",0.0005050156
value__spkt_welch_density__coeff_8,0.0005009973
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",0.0005006434
"value__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",0.0004942856
"value__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)",0.00049306324
"value__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",0.00049255544
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",0.00049052696
"value__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)",0.00048657067
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",0.00048135998
value__c3__lag_3,0.00047932865
value__partial_autocorrelation__lag_7,0.00047872122
"value__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",0.0004750107
value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,0.00047370035
value__friedrich_coefficients__coeff_1__m_3__r_30,0.00047358286
value__range_count__max_1000000000000.0__min_0,0.00047215287
"value__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",0.00047194646
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",0.00047166194
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",0.00046300833
value__number_peaks__n_1,0.00045706707
"value__fft_coefficient__attr_""abs""__coeff_51",0.00045299795
"value__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",0.00045149474
value__last_location_of_maximum,0.00045079138
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",0.00045021318
"value__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)",0.00044834096
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",0.0004483214
value__permutation_entropy__dimension_3__tau_1,0.00044766342
value__energy_ratio_by_chunks__num_segments_10__segment_focus_3,0.0004467954
value__partial_autocorrelation__lag_6,0.00044583715
"value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",0.00044115348
"value__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",0.00044080507
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",0.00044011537
value__ar_coefficient__coeff_4__k_10,0.00043856676
"value__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)",0.00043665146
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",0.00043582293
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",0.00043536825
"value__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",0.00043408514
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",0.000433711
"value__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",0.0004307737
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",0.00042916823
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",0.00042889395
value__benford_correlation,0.00042853242
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",0.0004268855
value__time_reversal_asymmetry_statistic__lag_2,0.00042666556
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0",0.00042535062
"value__fft_coefficient__attr_""real""__coeff_62",0.0004242938
"value__fft_coefficient__attr_""abs""__coeff_80",0.00042110268
value__friedrich_coefficients__coeff_3__m_3__r_30,0.00042079113
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",0.00042030992
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",0.00042012185
value__ratio_beyond_r_sigma__r_1.5,0.00041957758
value__ar_coefficient__coeff_5__k_10,0.00041718813
"value__fft_coefficient__attr_""abs""__coeff_16",0.00041689916
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",0.0004157654
value__first_location_of_minimum,0.00041571076
"value__fft_coefficient__attr_""abs""__coeff_30",0.0004153956
"value__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)",0.0004141327
value__last_location_of_minimum,0.00041391404
"value__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)",0.0004115473
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",0.0004107488
"value__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",0.0004103236
"value__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",0.00040915396
"value__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",0.0004077686
"value__fft_coefficient__attr_""angle""__coeff_50",0.0004070866
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",0.0004053176
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",0.00040482127
"value__fft_coefficient__attr_""real""__coeff_6",0.00040464135
"value__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",0.00040366667
"value__fft_coefficient__attr_""abs""__coeff_95",0.0004036421
"value__fft_coefficient__attr_""abs""__coeff_14",0.00040259527
value__number_cwt_peaks__n_1,0.00040210568
value__range_count__max_0__min_-1000000000000.0,0.00040191435
"value__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",0.00040086967
"value__fft_coefficient__attr_""abs""__coeff_90",0.00040028503
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",0.0004001029
value__ar_coefficient__coeff_6__k_10,0.00039888205
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",0.00039768423
value__partial_autocorrelation__lag_8,0.0003974494
value__first_location_of_maximum,0.0003961805
"value__fft_coefficient__attr_""real""__coeff_2",0.00039598078
"value__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",0.0003946951
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",0.00039355413
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",0.00038926175
"value__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",0.00038902427
"value__fft_coefficient__attr_""abs""__coeff_13",0.00038897837
"value__fft_coefficient__attr_""abs""__coeff_18",0.00038753144
"value__fft_coefficient__attr_""abs""__coeff_97",0.00038732446
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",0.00038662812
"value__fft_coefficient__attr_""abs""__coeff_75",0.0003864652
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",0.00038640227
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",0.00038618734
"value__fft_coefficient__attr_""abs""__coeff_96",0.00038267756
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2",0.00038178044
"value__fft_coefficient__attr_""imag""__coeff_67",0.00038161565
"value__fft_coefficient__attr_""imag""__coeff_77",0.00038092464
"value__fft_coefficient__attr_""abs""__coeff_27",0.00038050508
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",0.0003804758
"value__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",0.00038046643
"value__fft_coefficient__attr_""real""__coeff_4",0.00038027932
value__time_reversal_asymmetry_statistic__lag_3,0.00038024306
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",0.00037952792
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",0.00037899407
"value__fft_coefficient__attr_""imag""__coeff_3",0.00037888004
"value__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",0.00037864386
"value__fft_coefficient__attr_""abs""__coeff_33",0.00037805244
"value__fft_coefficient__attr_""abs""__coeff_62",0.00037805186
"value__fft_coefficient__attr_""abs""__coeff_10",0.00037677825
"value__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)",0.0003764903
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.2",0.00037591642
value__median,0.00037578683
"value__fft_coefficient__attr_""real""__coeff_5",0.00037405902
"value__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",0.00037341655
"value__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)",0.00037245912
"value__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",0.00037244646
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",0.0003724293
"value__fft_coefficient__attr_""abs""__coeff_9",0.00037218747
"value__fft_coefficient__attr_""abs""__coeff_84",0.00037088807
value__partial_autocorrelation__lag_9,0.0003708395
"value__fft_coefficient__attr_""imag""__coeff_6",0.0003706825
"value__fft_coefficient__attr_""angle""__coeff_82",0.00037037063
value__time_reversal_asymmetry_statistic__lag_1,0.00037000707
"value__fft_coefficient__attr_""real""__coeff_63",0.00036777824
"value__fft_coefficient__attr_""angle""__coeff_87",0.0003674925
value__ar_coefficient__coeff_8__k_10,0.00036743557
"value__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",0.000366984
"value__fft_coefficient__attr_""imag""__coeff_72",0.0003661764
"value__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)",0.00036586216
"value__fft_coefficient__attr_""abs""__coeff_20",0.0003656573
"value__fft_coefficient__attr_""abs""__coeff_17",0.00036521515
"value__fft_coefficient__attr_""abs""__coeff_22",0.00036512452
"value__fft_coefficient__attr_""real""__coeff_77",0.00036370222
"value__fft_coefficient__attr_""abs""__coeff_50",0.00036368732
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",0.0003634696
"value__fft_coefficient__attr_""abs""__coeff_40",0.0003631719
"value__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)",0.0003624383
value__ar_coefficient__coeff_10__k_10,0.00036233684
"value__fft_coefficient__attr_""abs""__coeff_55",0.00036169856
"value__cwt_coefficients__coeff_4__w_2__widths_(2, 5, 10, 20)",0.0003609098
"value__fft_coefficient__attr_""abs""__coeff_19",0.0003590191
"value__fft_coefficient__attr_""abs""__coeff_37",0.0003585829
value__ar_coefficient__coeff_7__k_10,0.00035831798
"value__fft_coefficient__attr_""real""__coeff_56",0.0003581518
"value__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)",0.0003577248
"value__fft_coefficient__attr_""abs""__coeff_36",0.00035689864
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",0.0003568552
"value__fft_coefficient__attr_""abs""__coeff_87",0.0003567722
value__ar_coefficient__coeff_9__k_10,0.00035618333
"value__fft_coefficient__attr_""real""__coeff_3",0.0003559813
value__number_peaks__n_3,0.00035576127
"value__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)",0.00035561164
"value__fft_coefficient__attr_""abs""__coeff_15",0.0003550475
"value__fft_coefficient__attr_""abs""__coeff_12",0.00035494112
"value__fft_coefficient__attr_""imag""__coeff_38",0.00035441708
"value__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",0.00035357045
"value__fft_coefficient__attr_""abs""__coeff_35",0.0003531213
"value__fft_coefficient__attr_""abs""__coeff_11",0.00035272306
"value__fft_coefficient__attr_""real""__coeff_7",0.00035251983
"value__fft_coefficient__attr_""imag""__coeff_16",0.0003513959
"value__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)",0.0003512892
"value__fft_coefficient__attr_""abs""__coeff_21",0.00035116845
"value__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)",0.00035111158
"value__fft_coefficient__attr_""real""__coeff_38",0.00035090526
"value__fft_coefficient__attr_""real""__coeff_32",0.00035019606
"value__fft_coefficient__attr_""real""__coeff_30",0.00035010738
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",0.00034791208
"value__fft_coefficient__attr_""abs""__coeff_60",0.00034781694
"value__fft_coefficient__attr_""imag""__coeff_5",0.00034780765
