name,n,pred_base,pred_anoms,path,stat_prob,router_p,base_stationary,base_deterministic_trend,base_stochastic_trend,base_volatility,anom_collective_anomaly,anom_contextual_anomaly,anom_mean_shift,anom_point_anomaly,anom_trend_shift,anom_variance_shift
airpass.csv,144,deterministic_trend,"collective_anomaly, contextual_anomaly, point_anomaly",combo,0.046,0.9887,0.0053,0.9705,0.0143,0.0099,0.9145,0.9758,0.0035,0.3774,0.0056,0.0274
beer.csv,422,deterministic_trend,"collective_anomaly, contextual_anomaly, point_anomaly",combo,0.0689,0.9981,0.0343,0.9541,0.006,0.0056,0.3419,0.5492,0.0027,0.3584,0.0173,0.0148
deaths.csv,72,stationary,contextual_anomaly,combo,0.0036,0.9975,0.7111,0.2397,0.0255,0.0237,0.1645,0.9947,0.0013,0.009,0.0266,0.008
e1.csv,92,stochastic_trend,"collective_anomaly, contextual_anomaly",combo,0.003,0.9886,0.017,0.2819,0.6778,0.0233,0.9133,0.9786,0.0027,0.1362,0.0034,0.0037
e2.csv,104,deterministic_trend,contextual_anomaly,combo,0.0833,0.9908,0.0085,0.956,0.0266,0.0089,0.2044,0.9758,0.0031,0.2301,0.0046,0.0028
German_consumption.csv,93,deterministic_trend,"collective_anomaly, contextual_anomaly",combo,0.0051,0.9968,0.0261,0.9574,0.0094,0.0071,0.9113,0.9786,0.0025,0.1477,0.003,0.0032
German_income.csv,113,deterministic_trend,"collective_anomaly, contextual_anomaly, point_anomaly",combo,0.0251,0.9932,0.0135,0.9588,0.0193,0.0084,0.4195,0.5492,0.0045,0.9931,0.0028,0.0017
GermanGNP.csv,88,deterministic_trend,"collective_anomaly, contextual_anomaly",combo,0.0043,0.9939,0.0055,0.9833,0.0062,0.0049,0.9161,0.5553,0.0035,0.0109,0.0036,0.0064
INDPRO.csv,372,deterministic_trend,"collective_anomaly, contextual_anomaly, point_anomaly",combo,0.2587,0.9974,0.0009,0.9817,0.0105,0.0069,0.7288,0.0297,0.0077,0.5054,0.0019,0.0049
NP_AWHours.csv,479,deterministic_trend,collective_anomaly,combo,0.507,0.9971,0.0018,0.9832,0.0091,0.006,0.9934,0.0052,0.0356,0.2487,0.0012,0.0155
NP_xetradax_returns100.csv,1028,stationary,,combo_suppress,0.0061,0.9916,0.8737,0.015,0.0111,0.1002,0.9304,0.0229,0.0022,0.4809,0.0025,0.0066
